model_name,bce_train,bce_test,bce_val,mae_train,mae_test,mae_val,acc_train,acc_test,acc_val
Null Model,Infinite,Infinite,Infinite,0.4640303623898139,0.464,0.4566666666666666,0.5373316391359594,0.5373961218836565,0.5450138504155124
Uninformed Model,0.693147,0.693147,0.693147,0.4817580803134182,0.4813333333333333,0.4813333333333333,0.5,0.5,0.5
Elo Model,0.687638,0.673591,0.686807,0.4192148439230686,0.4111542236451729,0.4214614182093346,0.6214993646759848,0.6357340720221607,0.6281163434903048
"""Glicko"" Model",0.65095,0.643291,0.652622,0.4451766484438977,0.4402590428102873,0.4464318762093437,0.6214993646759848,0.6357340720221607,0.6281163434903048
