model_name,bce_train,bce_test,bce_val,mae_train,mae_test,mae_val,acc_train,acc_test,acc_val
Null Model,Infinite,Infinite,Infinite,0.46403036238981393,0.464,0.45666666666666667,0.5373316391359594,0.5373961218836565,0.5450138504155124
Uninformed Model,0.6931471805599453,0.6931471805599454,0.6931471805599454,0.4817580803134182,0.48133333333333334,0.48133333333333334,0.5,0.5,0.5
Elo Model,0.6876384262200204,0.6735907775912959,0.6868071129246753,0.4192148439230686,0.41115422364517296,0.42146141820933464,0.6214993646759848,0.6357340720221607,0.6281163434903048
"""Glicko"" Model",0.6509496536218344,0.643290632032571,0.6526217753053422,0.44517664844389776,0.4402590428102873,0.4464318762093437,0.6214993646759848,0.6357340720221607,0.6281163434903048
